业务概念(Term),SAP对标字段,MES物理字段名(DB_Column),数据类型,字典编码(dict_code),长度,是否必填,备注
资源ID,,resource_id,bigint,,20,否,兼容字段，按resource_type记录资源主键；新开发优先使用equipment_id/tooling_id/fixture_id明确外键。
资源编码,,resource_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
资源名称,,resource_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
需求数量,,required_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
资源单位,,resource_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
是否必需,,mandatory_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工序参数ID,,op_param_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工序ID,,operation_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
参数编码,,param_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
参数名称,,param_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
参数值,,param_value,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
参数单位,,param_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
上限值,,upper_limit,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
下限值,,lower_limit,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
控制类型,,control_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工序文档ID,,op_doc_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工序ID,,operation_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
文档编码,,doc_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
文档名称,,doc_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
文档类型,,doc_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
文档版本,,doc_version,varchar,,32,是,基础版字段定义，后续可按数据库规范细化。
文档地址,,doc_url,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
是否必需,,mandatory_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
检验方案ID,,insp_plan_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
检验方案编码,,insp_plan_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
检验方案名称,,insp_plan_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
检验方案版本,,insp_plan_version,varchar,,32,是,基础版字段定义，后续可按数据库规范细化。
检验类型,,insp_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
生效开始时间,,effective_from,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
生效结束时间,,effective_to,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
方案状态,,plan_status,varchar,mes_schedule_status,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
检验特性ID,,insp_char_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
检验方案ID,,insp_plan_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
检验项目编码,,char_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
检验项目名称,,char_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
检验项目类型,,char_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
标准值,,standard_value,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
上限值,,upper_limit,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
下限值,,lower_limit,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
单位,,uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
抽样数量,,sample_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工序检验关系ID,,op_insp_map_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工序ID,,operation_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
检验方案ID,,insp_plan_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
检验特性ID,,insp_char_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
检验阶段,,inspection_stage,varchar,mes_inspection_stage,64,否,检验阶段字典。
是否必需,,mandatory_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
派工ID,,dispatch_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工作中心ID,,work_center_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
人员ID,,person_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
设备ID,,equipment_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
派工数量,,dispatch_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
计划开始时间,,planned_start_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
计划结束时间,,planned_end_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
派工状态,,dispatch_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
报工人工明细ID,,report_labor_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
报工ID,,report_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
人员ID,,person_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
人工类型,,labor_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
工时,,work_hours,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
开始时间,,start_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
结束时间,,end_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
报工设备明细ID,,report_equipment_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
报工ID,,report_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
设备ID,,equipment_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
运行时长,,run_hours,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
开始时间,,start_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
结束时间,,end_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
设备状态,,equipment_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
缺陷代码ID,,defect_code_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
缺陷编码,,defect_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
缺陷名称,,defect_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
缺陷类型,,defect_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
严重等级,,severity_level,varchar,mes_severity_level,64,否,严重等级字典。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
生产不良ID,,prod_defect_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序执行ID,,op_exec_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
报工ID,,report_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
缺陷代码ID,,defect_code_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
不良数量,,defect_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
不良描述,,defect_desc,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
处置结果,,disposition_result,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
检验结果ID,,insp_result_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序执行ID,,op_exec_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
检验方案ID,,insp_plan_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
检验特性ID,,insp_char_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
样本号,,sample_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
实际值,,actual_value,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
检验判定,,result_judgement,varchar,mes_inspection_judgement,64,否,检验判定字典。
检验员ID,,inspector_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
检验时间,,inspection_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工序跟踪ID,,op_track_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序执行ID,,op_exec_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
跟踪类型,,track_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
跟踪内容,,track_content,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
跟踪时间,,track_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
操作人ID,,operator_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
来源模块,,source_module,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
退料记录ID,,op_return_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单工序ID,,order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工序执行ID,,op_exec_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工单组件ID,,order_component_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料批次ID,,material_lot_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
退料数量,,return_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
退料单位,,return_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
退料原因,,return_reason,varchar,mes_return_reason,64,否,退料原因字典。
退料时间,,return_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
接口消息ID,,interface_msg_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
接口编码,,interface_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
业务类型,,business_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
业务键,,business_key,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
接口方向,,direction,varchar,mes_interface_direction,64,否,接口方向字典。
来源系统,,source_system,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
目标系统,,target_system,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
消息内容,,message_body,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
消息状态,,message_status,varchar,mes_interface_message_status,20,是,基础版字段定义，后续可按数据库规范细化。
重试次数,,retry_count,int,,11,否,基础版字段定义，后续可按数据库规范细化。
错误信息,,error_message,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
供应商ID,,supplier_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
供应商编码,,supplier_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
供应商名称,,supplier_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
供应商类型,,supplier_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
联系人,,contact_person,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
联系电话,,contact_phone,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
仓库ID,,warehouse_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工厂ID,,plant_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
仓库编码,,warehouse_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
仓库名称,,warehouse_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
仓库类型,,warehouse_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
库位ID,,storage_location_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
仓库ID,,warehouse_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
库位编码,,storage_location_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
库位名称,,storage_location_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
库位类型,,location_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
收货单ID,,gr_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
收货单号,,gr_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
供应商ID,,supplier_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
仓库ID,,warehouse_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
收货日期,,receipt_date,date,,,否,基础版字段定义，后续可按数据库规范细化。
收货类型,,receipt_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
收货状态,,gr_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
来源单号,,source_doc_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
收货明细ID,,gr_item_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
收货单ID,,gr_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
行号,,line_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
接收数量,,received_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
接收单位,,received_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
批次号,,lot_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
库位ID,,storage_location_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
项目状态,,item_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
序列号ID,,serial_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
序列号,,serial_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
物料批次ID,,material_lot_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
序列号状态,,serial_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
当前位置,,current_location,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
在制批次ID,,wip_lot_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
在制批次号,,wip_lot_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
当前工单工序ID,,current_order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
数量,,qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
单位,,uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
在制状态,,wip_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
在制流转ID,,wip_track_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
在制批次ID,,wip_lot_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
来源工序ID,,from_order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
目标工序ID,,to_order_op_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
流转数量,,move_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
流转单位,,move_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
流转时间,,move_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
操作人ID,,operator_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
跟踪状态,,track_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
成品批次ID,,fg_lot_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
生产工单ID,,prod_order_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
成品批次号,,fg_lot_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
数量,,qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
单位,,uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
生产时间,,produce_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
成品批次状态,,fg_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
